AF-M0R2J8-F1-model_v4	AF-M0R2J8-F1-model_v4_TED01	3.10.20.230	3.10.20.230	4.50e-04	96.3	173-253	175-252	2dnfA01
AF-M0R2J8-F1-model_v4	AF-M0R2J8-F1-model_v4_TED02	3.10.20.230	3.10.20.230	8.10e-04	0.0	1397-1486	294-474	1mg4A00
AF-M0R2J8-F1-model_v4	AF-M0R2J8-F1-model_v4_TED03	3.10.20.230	3.10.20.230	8.10e-04	0.0	1397-1486	492-580	1mg4A00
AF-M0R2J8-F1-model_v4	AF-M0R2J8-F1-model_v4_TED07	2.80.10.50	2.80.10.50	1.20e-04	67.09	1141-1267	1045-1067_1162-1275	2vlcA04
AF-M0R2J8-F1-model_v4	AF-M0R2J8-F1-model_v4_TED09	3.10.20.230	3.10.20.230	6.40e-07	63.2	1631-1755	1668-1746	2bqqA00
AF-O00116-F1-model_v4	AF-O00116-F1-model_v4_TED01	3.30.465.10	3.30.465.10	8.40e-34	97.52	264-384	267-384	4bbyA03
AF-O00116-F1-model_v4	AF-O00116-F1-model_v4_TED02	3.40.462.40	3.30.70.3450	9.10e-40	53.98	385-509	388-610	4bbyB04
AF-O00139-F1-model_v4	AF-O00139-F1-model_v4_TED02	3.40.850.10	3.40.850.10	4.20e-125	92.56	196-553	208-213_224-558	2gryA00
AF-O00142-F1-model_v4	AF-O00142-F1-model_v4_TED01	3.40.50.300	3.40.50.300	4.60e-71	97.63	49-259	52-257	2no7B00
AF-O00160-F1-model_v4	AF-O00160-F1-model_v4_TED01	3.40.850.10	2.30.30.40	2.60e-18	0.0	1032-1097	13-103_588-620	1ng2A02
AF-O00160-F1-model_v4	AF-O00160-F1-model_v4_TED02	1.20.58.530	2.30.30.40	2.60e-18	0.0	1032-1097	402-523_559-569	1ng2A02
AF-O00160-F1-model_v4	AF-O00160-F1-model_v4_TED03	3.30.70.1590	1.20.5.4820	4.60e-23	49.17	621-740	622-680	2mysA06
AF-O00160-F1-model_v4	AF-O00160-F1-model_v4_TED04	2.30.29.30	1.20.5.4820	4.60e-23	5.41	621-740	725-916	2mysA06
AF-O00160-F1-model_v4	AF-O00160-F1-model_v4_TED05	2.30.30.40	2.30.30.40	2.60e-18	77.61	1032-1097	1046-1098	1ng2A02
AF-O00167-F1-model_v4	AF-O00167-F1-model_v4_TED01	3.40.50.12350	3.40.50.12350	1.50e-130	88.93	268-538	270-344_371-536	4egcB00
AF-O00189-F1-model_v4	AF-O00189-F1-model_v4_TED01	3.30.450.60	3.30.450.60	5.80e-34	90.14	1-142	5-132	2vglM01
AF-O00189-F1-model_v4	AF-O00189-F1-model_v4_TED02	2.60.40.1170	3.30.450.60	5.80e-34	0.0	1-142	187-293_416-452	2vglM01
AF-O00189-F1-model_v4	AF-O00189-F1-model_v4_TED03	2.60.40.1170	3.30.450.60	5.80e-34	0.0	1-142	297-384_400-413	2vglM01
AF-O00233-F1-model_v4	AF-O00233-F1-model_v4_TED02	2.30.42.10	2.30.42.10	1.80e-23	79.25	116-221	138-221	4o06A00
AF-O00308-F1-model_v4	AF-O00308-F1-model_v4_TED01	2.60.40.150	2.60.40.150	1.60e-16	86.81	14-157	19-143	2nq3A00
AF-O00308-F1-model_v4	AF-O00308-F1-model_v4_TED03	3.90.1750.10	2.20.70.10	2.80e-12	0.0	332-366	507-744	2dwvA01
AF-O00308-F1-model_v4	AF-O00308-F1-model_v4_TED04	3.30.2410.10	3.30.2410.10	6.70e-45	94.07	753-870	754-864	3tugA02
AF-O00311-F1-model_v4	AF-O00311-F1-model_v4_TED01	1.10.510.10	1.10.510.10	3.40e-32	53.94	349-463,537-574	141-219_372-470_535-574	4f9cA02
AF-O00329-F1-model_v4	AF-O00329-F1-model_v4_TED01	3.10.20.90	3.10.20.770	8.90e-119	27.62	2-316	20-106	5dxuA01
AF-O00329-F1-model_v4	AF-O00329-F1-model_v4_TED02	3.10.20.90	3.10.20.770	8.90e-119	39.68	2-316	166-290	5dxuA01
AF-O00329-F1-model_v4	AF-O00329-F1-model_v4_TED04	1.25.40.70	1.25.40.70	5.10e-67	41.24	482-675	487-516_524-573	5dxuA03
AF-O00329-F1-model_v4	AF-O00329-F1-model_v4_TED05	1.10.1070.11	1.10.1070.11	3.50e-74	95.33	830-1034	831-1043	4bfrA05
AF-O00401-F1-model_v4	AF-O00401-F1-model_v4_TED01	2.30.29.30	2.30.29.30	1.30e-53	83.78	3-150	25-148	1mkeA00
AF-O00401-F1-model_v4	AF-O00401-F1-model_v4_TED02	3.90.810.10	3.90.810.10	1.90e-31	80.56	204-275	218-275	2k42A00
AF-O00444-F1-model_v4	AF-O00444-F1-model_v4_TED01	3.30.200.20	1.10.510.10	1.80e-86	27.06	3-305	11-92	4bkyA00
AF-O00444-F1-model_v4	AF-O00444-F1-model_v4_TED02	1.10.510.10	1.10.510.10	1.80e-86	54.13	3-305	103-266	4bkyA00
AF-O00444-F1-model_v4	AF-O00444-F1-model_v4_TED03	3.30.1120.120	3.30.1120.120	2.30e-46	75.0	581-700	601-690	4n9jA01
AF-O00444-F1-model_v4	AF-O00444-F1-model_v4_TED04	3.30.1120.130	3.30.1120.130	3.60e-34	95.41	701-808	700-804	4n9jA02
AF-O00444-F1-model_v4	AF-O00444-F1-model_v4_TED05	3.30.1120.30	2.40.50.930	4.40e-30	85.56	881-970	888-964	5lhy100
AF-O00459-F1-model_v4	AF-O00459-F1-model_v4_TED01	2.30.30.40	2.30.30.40	4.50e-17	91.76	1-85	6-83	3o5zB00
AF-O00459-F1-model_v4	AF-O00459-F1-model_v4_TED02	1.10.555.10	1.10.555.10	5.60e-30	86.84	109-298	115-259_278-297	2xs6A00
AF-O00459-F1-model_v4	AF-O00459-F1-model_v4_TED03	3.30.505.10	3.30.505.10	1.30e-27	90.83	320-428	330-428	1fu5A00
AF-O00459-F1-model_v4	AF-O00459-F1-model_v4_TED05	3.30.505.10	3.30.505.10	3.10e-29	89.38	615-727	616-716	2y3aB02
AF-O00462-F1-model_v4	AF-O00462-F1-model_v4_TED01	2.60.120.260	2.60.120.260	7.90e-56	95.9	14-207	21-208	2je8A01
AF-O00462-F1-model_v4	AF-O00462-F1-model_v4_TED02	2.60.40.10	2.60.40.10	5.40e-11	85.22	208-322	214-311	4cvuA02
AF-O00462-F1-model_v4	AF-O00462-F1-model_v4_TED03	3.20.20.80	3.20.20.80	4.20e-144	98.64	323-688	327-689	6ddtA03
AF-O00462-F1-model_v4	AF-O00462-F1-model_v4_TED04	2.60.40.10	2.60.40.10	1.20e-04	90.74	689-790	693-796	2je8A04
AF-O00462-F1-model_v4	AF-O00462-F1-model_v4_TED05	2.60.40.10	2.60.40.10	2.20e-13	81.4	794-879	805-874	4cvuA05
AF-O00463-F1-model_v4	AF-O00463-F1-model_v4_TED01	3.30.40.10	3.30.40.10	2.70e-07	62.11	37-100	42-131	2jmdA00
AF-O00463-F1-model_v4	AF-O00463-F1-model_v4_TED02	2.60.210.10	2.60.210.10	1.80e-65	76.14	357-553	401-550	5e1tC00
AF-O00472-F1-model_v4	AF-O00472-F1-model_v4_TED02	1.10.10.2670	1.10.10.2670	1.40e-33	81.73	194-297	207-291	2doaA00
AF-O00555-F1-model_v4	AF-O00555-F1-model_v4_TED01	1.20.120.350	1.20.120.350	1.20e-23	89.13	87-210	73-209	3rvyA01
AF-O00555-F1-model_v4	AF-O00555-F1-model_v4_TED03	1.20.120.350	1.20.120.350	4.40e-24	97.6	475-599	475-596	5ek0C01
AF-O00555-F1-model_v4	AF-O00555-F1-model_v4_TED07	1.10.238.10	1.10.238.10	3.10e-35	59.49	1815-1935	1525-1561_1820-1972	4ovnF01
AF-O00584-F1-model_v4	AF-O00584-F1-model_v4_TED01	3.90.730.10	3.90.730.10	6.20e-76	91.81	25-256	36-248	3t0oA00
AF-O00623-F1-model_v4	AF-O00623-F1-model_v4_TED02	3.30.40.10	3.30.40.10	1.90e-05	92.06	302-359	297-359	3jb9V01
AF-O00628-F1-model_v4	AF-O00628-F1-model_v4_TED01	2.130.10.10	2.130.10.10	1.10e-72	96.83	7-315	11-321	3w15A01
AF-O00754-F1-model_v4	AF-O00754-F1-model_v4_TED01	3.20.110.10	3.20.110.10	2.40e-118	87.42	63-347	53-378	1o7dA01
AF-O00754-F1-model_v4	AF-O00754-F1-model_v4_TED02	2.60.40.1180	2.60.40.1180	1.40e-23	44.5	492-584	392-589_867-877	1o7dC02
AF-O00754-F1-model_v4	AF-O00754-F1-model_v4_TED03	2.70.98.30	2.70.98.30	1.70e-108	86.36	603-866	637-864	1o7dD01
AF-O00754-F1-model_v4	AF-O00754-F1-model_v4_TED04	2.60.40.1360	2.60.40.1360	4.00e-39	90.48	885-1010	894-1007	1o7dE00
AF-O14497-F1-model_v4	AF-O14497-F1-model_v4_TED01	1.10.150.60	1.10.150.60	5.90e-29	85.6	999-1123	1004-1110	2cxyA00
AF-O14497-F1-model_v4	AF-O14497-F1-model_v4_TED03	1.25.10.10	1.10.150.60	5.90e-29	0.0	999-1123	2141-2213_2224-2285	2cxyA00
AF-O14512-F1-model_v4	AF-O14512-F1-model_v4_TED01	3.30.505.10	3.30.505.10	9.50e-36	94.81	381-515	386-513	2vifA01
AF-O14526-F1-model_v4	AF-O14526-F1-model_v4_TED03	2.60.40.1170	1.20.1270.60	3.80e-70	0.0	1-272	754-852	2v0oB00
AF-O14576-F1-model_v4	AF-O14576-F1-model_v4_TED01	2.130.10.10	2.130.10.10	3.70e-17	73.33	283-466	272-425	1yfqA00
AF-O14576-F1-model_v4	AF-O14576-F1-model_v4_TED02	2.130.10.10	2.130.10.10	7.00e-17	73.71	469-625	433-645	5h1mA01
AF-O14640-F1-model_v4	AF-O14640-F1-model_v4_TED01	2.40.240.130	2.40.240.130	1.10e-33	95.24	1-84	5-84	3pz8A00
AF-O14640-F1-model_v4	AF-O14640-F1-model_v4_TED02	2.30.42.10	2.30.42.10	2.50e-26	88.0	244-343	250-337	2reyA00
AF-O14640-F1-model_v4	AF-O14640-F1-model_v4_TED03	1.10.10.10	1.10.10.10	8.30e-33	74.34	395-499	416-507	1fshA00
